LR,DT,RF,Kmeans
"[23.73527408  3.07373452 16.35533166 ...  7.5973475   5.27493978
  8.74074435]","[18.06949153  5.16613636 18.06949153 ...  5.16613636  5.16613636
  5.16613636]","[20.22907643  4.80154463 17.94366074 ...  5.20892585  4.83346224
  5.20892585]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[23.62979102  3.35884356 16.5559032  ...  7.60873103  5.2576921
  8.71916127]","[18.06949153  5.16520179 18.06949153 ...  5.16520179  5.16520179
  5.16520179]","[20.31997277  4.80969734 17.75452581 ...  5.24226452  4.86170171
  5.24226452]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[23.63148499  3.37167549 16.56497288 ...  7.44190216  5.27922344
  8.63976765]","[18.06949153  5.17701754 18.06949153 ...  5.17701754  5.17701754
  5.17701754]","[19.66811627  4.95853616 18.20334723 ...  5.36874691  5.01795507
  5.36874691]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[23.62791777  3.30913734 16.48096228 ...  7.47674704  5.32685661
  8.72620916]","[20.0415942   5.14429185 20.0415942  ...  5.14429185  5.14429185
  5.14429185]","[20.6506616   4.87729947 17.64083688 ...  5.26786222  4.93440969
  5.26786222]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[23.46519279  3.41701031 16.44484138 ...  7.53399849  5.26404953
  8.68683243]","[18.04466667  5.13221277 18.04466667 ...  5.13221277  5.13221277
  5.13221277]","[20.25951384  4.83120706 17.56768917 ...  5.21922551  4.85402106
  5.21922551]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.29897451  3.15442801 16.40645766 ...  7.47574449  5.44052362
  8.88797283]","[17.92918033  5.13529167 17.92918033 ...  5.13529167  5.13529167
  5.13529167]","[18.96126132  4.66395315 17.24242478 ...  5.29186129  4.68794841
  5.29186129]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.41487873  3.45536435 16.22995079 ...  7.70566928  5.30267346
  8.86914146]","[19.53445946  5.13292683 19.53445946 ...  5.13292683  5.13292683
  5.13292683]","[21.57000395  4.49815613 17.59119582 ...  5.13433021  4.52989948
  5.13433021]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.43360662  3.50998974 16.25793648 ...  7.68326759  5.1902523
  8.64220905]",[19.594      5.2756422 19.594     ...  5.2756422  5.2756422  5.2756422],"[19.95039075  4.72107776 18.09180445 ...  5.35182442  4.77832323
  5.35182442]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.54290354  3.53167832 16.23286641 ...  7.68695056  5.09253967
  8.5973897 ]","[19.594       5.28026786 19.594      ...  5.28026786  5.28026786
  5.28026786]","[20.93133577  4.67300981 18.40534666 ...  5.28181259  4.7613607
  5.28181259]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.72942829  3.6062727  16.25320911 ...  7.714324    5.23616123
  8.68580151]","[19.41636364  5.29881057 19.41636364 ...  5.29881057  5.29881057
  5.29881057]","[18.17052426  4.79850844 17.69253437 ...  5.33157435  4.85098881
  5.37393047]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[24.79701281  3.8332901  16.28361225 ...  7.76605368  5.26272488
  8.79821587]","[19.41636364  5.31547009 19.41636364 ...  5.31547009  5.31547009
  5.31547009]","[18.91269261  4.60790804 18.01782332 ...  5.42085248  4.65463126
  5.42085248]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[25.34334373  3.79627907 16.11169457 ...  7.70283604  5.26783705
  8.84787858]","[19.68025641  5.31923729 19.68025641 ...  5.31923729  5.31923729
  5.31923729]","[21.44484088  4.71054666 18.4826338  ...  5.51157551  4.80606182
  5.51157551]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[25.40377641  3.9621619  16.17851198 ...  7.70603442  5.20179987
  8.83585733]","[19.65835443  5.32105042 19.65835443 ...  5.32105042  5.32105042
  5.32105042]","[19.44783493  4.73594036 18.29135729 ...  5.44773818  4.78592627
  5.44773818]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[25.46883166  3.94840813 16.16583705 ...  7.70178401  5.21187866
  8.83904791]","[19.67280488  5.3166805  19.67280488 ...  5.3166805   5.3166805
  5.3166805 ]","[20.76753026  4.54745507 18.11797993 ...  5.23911325  4.56793911
  5.23911325]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.04739189  4.02005386 15.84109068 ...  7.84421444  5.11226559
  9.01882124]","[19.72529412  5.30737705 19.72529412 ...  5.30737705  5.30737705
  5.30737705]","[20.94524808  4.52779108 18.37293095 ...  5.40043417  4.62289704
  5.40043417]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.58246589  3.92879033 15.73802638 ...  7.81372929  5.2048347
  9.09659719]","[17.96434783  5.30491935 17.96434783 ...  5.30491935  5.30491935
  5.30491935]","[20.7134985   4.53527481 18.18128551 ...  5.27417971  4.5921647
  5.27417971]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.63271236  3.96450949 15.85087585 ...  7.83269548  5.2433672
  9.04305172]","[17.96434783  5.45825949 17.96434783 ...  5.45825949  5.45825949
  5.45825949]","[20.40071826  4.48054236 18.04361579 ...  5.35918321  4.527872
  5.35918321]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[25.80918956  3.92844319 15.876755   ...  7.91639686  5.27390742
  9.19242644]","[17.85535211  5.45825949 17.85535211 ...  5.45825949  5.45825949
  5.45825949]","[21.18692876  4.66673116 18.68597754 ...  5.34173156  4.76529386
  5.34173156]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[25.85744825  3.91984162 15.95600519 ...  7.91398457  5.23835602
  9.14764521]","[17.97541667  5.4611875  17.97541667 ...  5.4611875   5.4611875
  5.4611875 ]","[21.16669877  4.57034301 18.58073907 ...  5.34963601  4.64449015
  5.34963601]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.01798654  4.04686308 16.19189    ...  7.82989335  5.3144176
  9.13511074]","[20.026       5.45242236 20.026      ...  5.45242236  5.45242236
  5.45242236]","[20.21388575  4.64244547 17.68618403 ...  5.28598891  4.70314567
  5.28598891]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.07308924  3.94446921 16.05021101 ...  7.7670604   5.2828697
  9.12894344]","[17.97541667  5.47431611 17.97541667 ...  5.47431611  5.47431611
  5.47431611]","[20.06901565  4.67110789 18.08975006 ...  5.48225407  4.78505381
  5.48225407]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.21774268  3.8961252  15.87411034 ...  7.74504304  5.26967287
  9.12189376]","[17.91410959  5.4612012  17.91410959 ...  5.4612012   5.4612012
  5.4612012 ]","[20.31202113  4.81650243 17.65603062 ...  5.30258509  4.81650243
  5.30258509]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.40047815  3.89700612 15.91747263 ...  7.69489536  5.27309397
  9.18705496]","[20.24723404  5.46565476 20.24723404 ...  5.46565476  5.46565476
  5.46565476]","[20.92299832  4.7018991  18.22624332 ...  5.5222896   4.80063555
  5.5222896 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.07293081  3.91860676 15.97930074 ...  7.71945572  5.22551823
  9.16389513]","[20.22094737  5.47589971 20.22094737 ...  5.47589971  5.47589971
  5.47589971]","[18.78425363  4.85813187 18.41325619 ...  5.51824845  4.97070726
  5.51824845]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.04467885  4.0292982  15.98917476 ...  7.66240277  5.26187986
  9.18181319]","[20.22094737  5.48087209 20.22094737 ...  5.48087209  5.48087209
  5.48087209]","[18.24739719  4.56555603 18.17952177 ...  5.4981363   4.62181637
  5.4981363 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.1102367   4.00664735 15.92803767 ...  7.61128247  5.27086893
  9.19480962]","[20.22474227  5.48362069 20.22474227 ...  5.48362069  5.48362069
  5.48362069]","[19.7153712   4.71177416 18.21713972 ...  5.49456565  4.82037838
  5.49456565]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.30277586  3.90800333 16.01417494 ...  7.59348106  5.29358673
  9.11108637]","[18.18320513  5.49028571 18.18320513 ...  5.49028571  5.49028571
  5.49028571]","[18.7989424   4.69627814 18.23658387 ...  5.47461032  4.71903715
  5.47461032]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.30007219  3.85198927 16.23428464 ...  7.82223415  5.30447435
  9.0844897 ]","[18.1656962   5.49822034 18.1656962  ...  5.49822034  5.49822034
  5.49822034]","[19.50799923  4.85263701 18.73456546 ...  5.52214444  4.87752767
  5.52214444]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.13469529  3.90812111 16.03770733 ...  7.68195224  5.41496944
  9.21331167]","[18.05475     5.48878453 18.05475    ...  5.48878453  5.48878453
  5.48878453]","[19.14581444  4.6094643  18.02599745 ...  5.62349407  4.66365022
  5.62349407]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.15496588  3.99462652 16.10828638 ...  7.55122042  5.34681845
  9.08732033]","[18.10283951  5.48374317 18.10283951 ...  5.48374317  5.48374317
  5.48374317]","[18.64540793  4.71649459 18.3636088  ...  5.5326398   4.82910699
  5.5326398 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.17356092  4.00302857 16.10089892 ...  7.548518    5.31827319
  9.05852115]","[18.10283951  5.49441176 18.10283951 ...  5.49441176  5.49441176
  5.49441176]","[19.75122867  4.91995232 18.20482668 ...  5.52123659  5.01879723
  5.52123659]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.22932649  4.01381159 16.15881371 ...  7.57804608  5.23087001
  9.04785967]","[18.02385542  5.52417989 18.02385542 ...  5.52417989  5.52417989
  5.52417989]","[19.12340757  4.89752219 17.86336247 ...  5.5315839   5.0006491
  5.5315839 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.29099011  4.24816251 15.9424777  ...  7.42465353  5.2595036
  9.00915837]","[18.288       5.51130208 18.288      ...  5.51130208  5.51130208
  5.51130208]","[20.24546294  4.92303339 18.50391668 ...  5.56273476  5.00855514
  5.56273476]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.08021796  4.16034305 15.92730427 ...  7.42714179  5.22788119
  9.02619052]","[18.26430233  5.51250639 18.26430233 ...  5.51250639  5.51250639
  5.51250639]","[20.15841138  5.1020062  17.98122731 ...  5.5740531   5.14902638
  5.5740531 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.14302516  4.10514534 15.82907343 ...  7.37813103  5.31485498
  9.12527299]","[18.26430233  5.50977099 18.26430233 ...  5.50977099  5.50977099
  5.50977099]","[19.83977139  5.06998398 18.38329725 ...  5.62765557  5.20402969
  5.62765557]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   29.52  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.15388393  4.06615329 15.81833875 ...  7.33130181  5.39711154
  9.2272079 ]","[18.30409091  5.5095466  18.30409091 ...  5.5095466   5.5095466
  5.5095466 ]","[19.158763    5.04348013 18.72573479 ...  5.48910294  5.07149633
  5.48910294]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    7.25   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.01254678  4.11889917 15.77644426 ...  7.2995584   5.37991762
  9.19262841]","[18.34561798  5.52077114 18.34561798 ...  5.52077114  5.52077114
  5.52077114]","[20.86390637  5.14642479 18.48959753 ...  5.6035973   5.20089133
  5.6035973 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.14588165  3.92099476 15.65912175 ...  7.32142234  5.2694788
  9.1676836 ]","[18.16455556  5.72895652 18.16455556 ...  5.72895652  5.72895652
  5.72895652]","[18.99459782  5.02864675 19.04075842 ...  5.57044101  5.13051983
  5.57044101]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.09698272  4.03518796 15.61998844 ...  7.41286004  5.25866294
  9.22644943]","[18.39290323  5.52097561 18.39290323 ...  5.52097561  5.52097561
  5.52097561]","[19.99484386  5.00507563 18.60277556 ...  5.57156241  5.07136404
  5.60618498]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[26.11056983  4.20967948 15.67583358 ...  7.43432701  5.16820371
  9.12766492]","[18.39290323  5.54515663 18.39290323 ...  5.54515663  5.54515663
  5.54515663]","[18.09488982  5.13259051 18.44225953 ...  5.63656022  5.15934955
  5.63656022]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[25.94434166  4.32976627 15.65906119 ...  7.40238953  5.17610598
  9.12293816]","[18.35305263  5.77280899 18.35305263 ...  5.77280899  5.77280899
  5.77280899]","[19.88019196  4.98321945 18.87122513 ...  5.56509789  5.03559084
  5.56509789]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    6.75   5.85

[2922 rows x 2 columns]"
"[25.97172832  4.36422539 15.61637235 ...  7.38237333  5.00282192
  8.91716337]","[18.35305263  5.78473684 18.35305263 ...  5.78473684  5.78473684
  5.78473684]","[19.99231271  5.12943616 18.13272939 ...  5.63946976  5.21208882
  5.63946976]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[25.92399371  4.06670284 15.37389171 ...  7.41601932  4.91562247
  8.81725621]","[18.35305263  5.79090659 18.35305263 ...  5.79090659  5.79090659
  5.79090659]","[19.82486     5.13853526 18.4655983  ...  5.66841225  5.22411656
  5.70250926]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[25.93120098  4.06268549 15.33492756 ...  7.42208719  4.89710093
  8.83407545]","[18.35305263  5.80845946 18.35305263 ...  5.80845946  5.80845946
  5.80845946]","[18.75111148  5.16983707 18.0934033  ...  5.69249287  5.24543209
  5.69249287]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[25.77895367  3.82486928 15.22428489 ...  7.33410728  4.91407573
  8.87127173]","[18.20783505  5.82216    18.20783505 ...  5.82216     5.82216
  5.82216   ]","[19.83108767  5.05040971 18.43960157 ...  5.80663021  5.13634113
  5.80663021]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[25.70659876  3.77331471 15.22296762 ...  7.37598777  5.03756094
  8.88931513]","[18.16438776  5.82891821 18.16438776 ...  5.82891821  5.82891821
  5.82891821]","[18.97078674  5.06395644 19.01729273 ...  5.73814743  5.29324178
  5.77749757]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.11215901  3.73515308 15.47162139 ...  7.56222522  5.14476943
  9.0965482 ]","[18.16438776  5.83808399 18.16438776 ...  5.83808399  5.83808399
  5.83808399]","[19.37316487  4.90174577 18.65546754 ...  5.58924972  5.01530244
  5.58924972]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.06600404  3.82004178 15.50310445 ...  7.5769043   5.1352551
  9.13550425]","[18.16438776  5.84093506 18.16438776 ...  5.84093506  5.84093506
  5.84093506]","[20.07104746  5.11223725 18.75257145 ...  5.81813073  5.31381496
  5.81813073]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.1319415   4.06528929 15.47387934 ...  7.79071304  5.01400784
  9.06390679]","[20.19203252  5.83750643 20.19203252 ...  5.83750643  5.83750643
  5.83750643]","[20.75954435  5.28321881 18.65189602 ...  5.73984642  5.41923251
  5.73984642]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.13806438  3.98562717 15.47015905 ...  7.84204483  4.97748947
  9.02137089]","[20.19203252  5.8426972  20.19203252 ...  5.8426972   5.8426972
  5.8426972 ]","[19.08570162  5.22679774 18.72181756 ...  5.80550133  5.29793553
  5.80550133]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.13298711  4.02683784 15.4473452  ...  7.82604905  4.95703436
  8.98732808]","[20.14572581  5.85093434 20.14572581 ...  5.85093434  5.85093434
  5.85093434]","[19.0798946   5.10772863 19.11839779 ...  5.83016945  5.33639691
  5.83016945]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
